TXN0001|1001|DEPOSIT|30000|2026-08-09 14:37:11|30000
TXN0002|1002|DEPOSIT|5000|2026-08-09 14:37:11|5000
TXN0003|1001|DEPOSIT|4.56789e+06|2026-08-09 20:56:35|4.59789e+06
TXN0004|1001|TRANSFER-OUT|34567|2026-08-09 20:57:13|4.56332e+06
TXN0005|1002|TRANSFER-IN|34567|2026-08-09 20:57:13|39567
TXN0006|1001|TRANSFER-OUT|24500|2026-08-10 22:11:36|4.53882e+06
TXN0007|1002|TRANSFER-IN|24500|2026-08-10 22:11:36|64067
TXN0008|1001|TRANSFER-OUT|56789|2026-08-10 22:12:16|4.48203e+06
TXN0009|1002|TRANSFER-IN|56789|2026-08-10 22:12:16|120856
TXN0010|1001|PROFIT|18675.1|2026-08-11 00:46:48|4.50071e+06
TXN0011|1001|LOAN|3456|2026-08-11 17:52:55|4.50417e+06
TXN0012|1001|DEPOSIT|2345|2026-08-11 22:26:30|4.50652e+06
TXN0013|1001|DEPOSIT|198|2026-08-11 22:26:45|4.50671e+06
TXN0014|1003|DEPOSIT|34567|2026-08-11 22:34:52|34567
TXN0015|1001|PROFIT|18778|2026-08-11 22:40:55|4.52549e+06
TXN0016|1004|DEPOSIT|12340|2026-08-11 22:43:50|12340
TXN0017|1001|PROFIT|18856.2|2026-08-11 22:47:41|4.54435e+06
TXN0018|1001|PROFIT|18934.8|2026-08-11 22:47:53|4.56328e+06
TXN0019|1001|DEPOSIT|100|2026-08-11 22:52:02|4.56338e+06
TXN0020|1001|TRANSFER-OUT|567|2026-08-11 22:53:13|4.56281e+06
TXN0021|1002|TRANSFER-IN|567|2026-08-11 22:53:13|121423
TXN0022|1001|LOAN-REPAY|3801|2026-08-11 22:54:14|4.55901e+06
TXN0023|1001|LOAN-REPAY|0.6|2026-08-11 22:54:35|4.55901e+06
TXN0024|1001|LOAN|45670|2026-08-11 22:55:09|4.60468e+06
TXN0025|1001|TRANSFER-OUT|26000|2026-08-11 22:59:53|4.57868e+06
TXN0026|1002|TRANSFER-IN|26000|2026-08-11 22:59:53|147423
TXN0027|1001|DEPOSIT|1000|2026-08-12 07:21:51|4.50771e+06
TXN0028|1001|DEPOSIT|10|2026-08-12 07:22:06|4.50772e+06
TXN0029|1001|WITHDRAW|100|2026-08-12 07:22:26|4.50762e+06
TXN0030|1001|TRANSFER-OUT|10|2026-08-12 07:22:44|4.50761e+06
TXN0031|1002|TRANSFER-IN|10|2026-08-12 07:22:44|120866
TXN0032|1001|LOAN-REPAY|3801.6|2026-08-12 07:23:16|4.50381e+06
